,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
1653,Texas,Swimming,F,19,Right foot bitten,N,16h30,1.2 m to 1.5 m [4' to 5'] shark
1654,Texas,Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,19h30,Bull shark
1657,Western Australia,Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten      ",Y,14h10,"2 sharks, 4.5 m & 3 m "
1659,Alabama,Wading,M,7,Right foot lacerated,N,16h40,4' to 5' shark
1660,California,Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" white shark"
1663,Western Australia,Body boarding,M,17,Ankle & foot lacerated,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] "
1664,Florida,Swimming,M,8,Right wrist  & left arm lacerated,N,18h00,1.2 m [4'] shark
1665,Western Cape Province,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,15h00,White shark
1666,Texas,Wading,M,16,Puncture wounds on shin,N,19h45,0.9 m to 1.5 m [3' to 5'] shark
1667,Pernambuco,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,14h30,Bull shark
1668,California,Surfing,M,44,No injury,N,11h00,2.4 m to 3.7 m [8' to 12'] shark
1673,Abaco Islands,Free diving & spearfishing,M,63,Left forearm bitten PROVOKED INCIDENT,N,15h00,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)"
1674,Texas,Tandem surfing,M,28,"No injury, board bitten",N,16h30,"Mako shark, 1.8 m [6']"
1680,Hawaii,Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,07h08,Tiger shark
1681,Western Cape Province,Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",N,14h00,5 m [16.5'] white shark
1684,Florida,Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 m [4'] bull shark
1685,Pernambuco,Body boarding,M,22,"Lower left leg bitten, surgically amputated",N,07h30,bull shark
1687,Saint-Benoît,Surfing,M,20,Right thigh bitten,N,17h00 or 17h40,2.5 m shark
1691,Hawaii,Surfing,M,51,"No injury, board bitten",N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
1694,"South Island, near Karitane north of Dunedin",Surfing,M,15,Thigh lacerated,N,19h00,2 m [6.75'] sevengill  shark
1699,Western Australia,Scuba diving,M,46,Left leg bitten,N,11h05,4 m to 5 m [13' to 16.5'] white shark
1703,Anzoategui,Spearfishing,M,40,Right leg bitten,N,11h00,"Bull shark, 132-kg [291-lb] "
1717,KwaZulu-Natal,Spearfishing,M,21,"Presumed FATAL, severed hand recovered",Y,>08h00,"Tiger shark, 4 m [13']  ?"
1718,Florida,Surfing,F,35,Severe abrasion to left lateral calf,N,15h30,4' shark
1725,Florida,Surfing,M,18,Left foot (sole) bitten,N,15h00,1.2 m to 1.5 m [4' to 5'] shark
1726,New South Wales,Surfing,M,22,Left ankle & foot lacerated,N,17h30,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark"
1727,Hawaii,Surfing,F,13,Left arm severed below shoulder,N,07h30,"Tiger shark, 14' "
1730,Florida,Surfing,M,19,Foot bitten,N,--,1.2 m [4'] shark
1736,Hawaii,Wading near a fishing net,F,41,"Left thigh abraded, right knee and right index finger injured",N,12h55,"1.2 m [4'] ""grey-colored shark"""
1742,Florida,Surfing,M,30,Left foot: lacerations on heel and sole,N,16h14,3' shark
1745,Florida,Body boarding,M,18,Left calf avulsion,N,17h11,6' shark
1746,South Carolina,"Standing, stepped on shark",M,15,Ankle lacerated,N,Afternoon,7' shark
1747,Western Cape Province,Body boarding,M,19,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,14h30,White shark
1750,California,"Swimming, wearing black wetsuit & swim fins",F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,08h15,4.5 m to 5.5 m [15' to 18'] white shark
1752,Eastern Cape Province,Sitting on surfboard,M,16,"No injury, wetsuit torn & board bitten",N,08h00,3.5 m [11.5'] white shark
1756,Abaco Islands,Spearfishing,M,58,Right thigh bitten,N,14h30,Unidentified species
1757,Florida,"Walking, carrying surfboard & stepped on shark",M,10,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N,10h07,2' shark
1759,Abaco Islands,Spearfishing,M,39,Left calf bitten,N,14h45,2.1 m  [7'] bull shark
1763,Florida,Surfing,M,17,Right foot & toes lacerated,N,13h53,Unidentified species
1764,Florida,Surfing,M,15,Ankle lacerated,N,Morning,106 cm [3.5']  shark
1766,Florida,Standing,F,12,2 lacerations to the thigh,N,Afternoon,“small brown shark”
1767,Hawaii,Swimming with pod of dolphins,M,60,Right foot bitten,N,08h00,3.7 m to 4.3 m [12' to 14'] shark
1768,Johnston Atoll,Swimming,M,51,Left leg bitten,N,Afternoon,Unidentified species
1769,North Carolina,Surfing ,M,33,Hand bitten ,N,Late afternoon,"""sand shark"""
1773,Florida,Wading,M,22,Left foot bitten,N,13h23,3' to 5' shark
1774,Hawaii,Swimming,M,20,Right calf & heel bitten,N,11h45,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark
1775,Florida,Surfing,M,34,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,N,11h40,4' to 5' shark
1780,Pernambuco,Surfing,M,17,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,17h00,Bull shark
1782,Florida,Surfing,M,36,Right leg bitten,N,14h30,Unidentified species
1783,Florida,Surfing,M,17,Survived,N,13h30,Unidentified species
1784,Florida,Surfing,M,30,Left foot bitten,N,Afternoon,Unidentified species
1785,Florida,Surfing,M,23,Small lacerations to foot,N,09h00,0.9 m to 1.2 m [3' to 4'] shark
1786,Florida,Surfing,M,18,Left ankle bitten or right foot,N,14h20,Unidentified species
1787,Florida,Jumping,M,11,Left foot bitten,N,13h20,A “small” shark
1788,Florida,Surfing,M,12,2 lacerations on left thigh,N,08h50,Unidentified species
1789,Florida,Swimming (using a float),M,20,Left calf lacerated,N,13h00,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee"
1790,Nueva Esparta,Surfing,M,28,"Right foot bitten, left leg severed",N,--,"Mako shark, 3 m [10']"
1792,Florida,Surfing,M,50,Left hand and wrist bitten,N,08h00,4' to 5' shark
1794,Southland,Scuba diving,M,44,Arm lacerated (shark made 3 strikes),N,11h45,2.5 m [8.25'] white shark
1795,South Australia,Wading,M,37,Ankle lacerated,N,Dusk,"""a small shark"""
1796,Florida,Swimming,M,54,Left hand bitten,N,12h10,Species unidentified
1797,New South Wales,Swimming,M,24,"Puncture wounds on heel, legs and buttocks",N,--,Thought to involve a 2 m [6.75'] grey nurse shark
1798,Queensland,Swimming,M,84,FATAL,Y,Morning,Thought to involve a >2 m [6.75'] bull shark
1803,Western Cape Province,Snorkeling,M,25,Forearms lacerated,N,Just after 12h00,"White shark, 4 m white shark"
1806,Queensland,Swimming,M,23,FATAL,Y,02h30,Bull shark
1809,California,Body boarding,M,48,Both legs severely lacerated,N,09h45,3 m to 4.5 m [10' to 15'] white shark
1810,Hawaii,Swimming,F,34,Right shoulder forarm & wrist bitten,N,10h45,2.4 m to 3 m [8' to 10'] grey colored shark
1811,Caicos Bank,Snorkeling,F,41,"Right upper am, shoulder & back severely  bitten",N,08h40,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark 
1812,Florida,Surfing,M,21,1.5-inch laceration,N,13h40,6' shark
1813,Florida,Boogie boarding,M,16,Puncture wounds on right foot,N,13h25,3' to 4' shark
1815,Hawaii,Swimming,F,60,Left foot bitten ,N,11h56,A “small” shark
1816,Pernambuco,Swimming,M,36,"FATAL, body not recovered",Y,16h00,Possibly a bull shark or tiger shark
1818,Florida,Surfing,M,14,Abrasions on right hand & deep laceration on middle finger,N,12h00,Blacktip or spinner shark
1819,Florida,Surfing,M,35,Heel & back of right knee lacerated,N,13h30,3.5' to 4.5' shark
1820,Florida,Surfing,M,18,Left hand lacerated and abraded,N,14h35,3.5' to 4' shark
1821,Florida,Surfing,M,47,Right hand severely lacerated,N,16h20,4' to 5' shark
1823,Hawaii,Fishing from Surfboard,M,55,"No injury, surfboard bitten ",N,15h35,1.2 m [4'] blacktip shark
1824,Florida,Fishing,M,  ,Left thumb lacerated PROVOKED INCIDENT,N,Afternoon,1.8 m [6'] blacktip shark
1825,Vava'u,Swimming,M, ,Thigh lacerated  PROVOKED INCIDENT,N,15h00,"Tiger shark, 1.5 m [5']k"
1826,Oregon,Boogie boarding or Surfing,M,24, Ankle lacerated,N, ,2.4 m [8'] shark
1827,California,Surfing,M,35,No injury,N,Early Morning,3 m to 3.7 m [10' to 12'] shark
1828,Pernambuco,Swimming,M,19,"Left thigh bitten, leg surgically amputated",N,15h00,Bull or tiger shark
1830,Western Cape Province,Surf skiing,M,47,No injury,N,16h00,White shark
1831,Florida,Boogie boarding,M,20,Bitten above & below right knee,N,15h55,4' to 6' shark
1832,Florida,"Wading, when he stepped on the shark",M,36,2 small puncture wounds on left foot PROVOKED INCIDENT,N,17h45,1' to 2' hammerhead or bonnethed shark
1833,Hawaii,Surfing,M,16,Left foot lacerated ,N,15h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
1835,Florida,Surfing,M,27,Big toe bitten,N,14h45,0.9 m  to 1.2 m [3' to 4'] shark
1836,Florida,Surfing,M,15,Lacerations on heel & dorsum of right foot,N,15h30,"Nurse shark, 1.5 m [5'] "
1839,North Carolina,Standing,M,14,Leg lacerated,N,11h00,1.2 m to 1.5 m [4' to 5'] shark
1840,South Carolina,Surfing,M,13,Heel bitten,N,19h00,1.2 m [4'] blacktip or sandbar shark
1841,North Carolina,Swimming,F,15,Calf bitten,N,17h00,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
1843,Maryland,Shark Fishing,M,41,Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT,Y,Shortly after midnight,"Mako shark, 400-lb "
1844,Pernambuco,Surfing,M,22,Right hand severed,N,15h00,Bull or tiger shark
1845,North Carolina,Standing,F,9,"Calf, foot & hand bitten",N,17h15,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark"
1852,Florida,Surfing,M,28,Right hand lacerated,N,13h00,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand
1853,Florida,Surfing,M,50,6-inch gash on right foot,N,10h40,  
1855,KwaZulu-Natal between Port Edward and Port St Johns,Snorkeling (filming the sardine run),M,50,Upper arm bitten,N,  ,1.5 to 2.5 m [5' to 8.25'] copper shark
1856,California,Surfing,M,24,Lacerated leg & back,N,14h15,3.7 m to 4.3 m [12' to 14'] white shark
1857,Florida,Floating on a raft,M,16,Lacerated foot,N,16h15,1 m  shark
1858,Florida,"Fishing, removing the shark from his line",M,55,Leg bitten by hooked shark PROVOKED INCIDENT,N,17h15,3' blacktip shark
1865,South Australia,Scallop diving (using surface-supplied air & a POD) ,M,23,"FATAL, torso & leg bitten  ",Y,12h40,"White shark, 6m [20']"
1867,Florida,"Surfing, but standing in water alongside board",M,34,Left foot bitten,N,10h30,1.2 m [4'] shark
1870,Abaco Islands,Standing,M,43,Calf bitten,N,10h45,"Bull shark, 400-lb "
1871,Florida,Wading,M,41,Two half-inch lacerations on right heel and one near small toe,N,15h00,3'  shark
1872,Florida,Swimming / Wading,M,29,Upper left arm bitten,N,11h30,0.9 m [3'] shark
1873,Hawaii,Body-boarding,M,17,Left leg severed below knee,N,12h00,Tiger shark
1874,Florida,Wading,F,11,Foot bitten,N,10h10,  
1876,Florida,Swimming /  boogie boarding,M,20,Punctures on left foot and foot ,N,15h45,4' shark
1877,Florida,Snorkeling,M,39,Arm bitten,N,Morning,"Nurse shark, 1m "
1878,Florida,Surfing,M,31,Several  puncture wounds on lower right leg,N,10h55,"Spinner shark, 3' to 4' "
1881,Queensland,Surfing,M,30 or 36,Heel / foot bitten,N,09h00 -10h00,"1.5 m [5'] ""whaler shark"""
1883,New South Wales,Kayaking,M,35,Stern of kayak bitten/chest bruised ,N,19h15,C. leucas tooth fragment recovered from kayak
1884,New South Wales,Surfing,M,20,Bruises & minor cuts,N,20h45 (Sunset),"Tiger shark, 3 m [10']"
1886,KwaZulu-Natal,Fishing,M,16,Leg bitten & surgically amputated,N,02h00,Zambesi shark?
1888,KwaZulu-Natal,Surf skiing,M,26,Foot & calf bitten,N,Sunset,Unidentified
1889,Hawaii,Snorkeling,M,35,Lacerations to buttocks & thigh,N,13h00,"Tiger shark, 1.8 m [6'] "
1895,Queensland,Snorkeling,F,20,Lacerations to right forearm & shoulder injured,N,13h00,Bronze whaler shark?
1896,Guerrero,Body surfing,M,26,Hand injured,N,Late morning,"Tiger shark, 1.8 m [6']"
1898,Florida,"Surfing, fell off surfboard & stepped on the shark.",M,21,PROVOKED INCIDENT Several small lacerations on left foot ,N,16h20,4' shark
1900,Florida,Wreck / Technical diving,M,42,FATAL or drowning & scavenging,Y,13h20,Questionable incident - shark bite may have precipitated drowning
1901,Florida,Boogie boarding,M,6½,"2 lacerations on lower back, punctures on buttock",N,15h00,2' to 3.5' shark
1907,North Carolina,Swimming ,M,28,FATAL,Y,18h00,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.
1908,North Carolina,Swimming,F,23,Left buttock & foot  severed,N,18h00,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.
1909,Florida,Wading,M,20,Right calf lacerated,N,Afternoon,1.5 m [5'] shark
1910,Virginia,Swimming ,M,10,"FATAL, thigh bitten ",Y,18h00,bull shark
1911,Abaco Islands,Spearfishing,M,44,Torso lacerated,N,13h30,3 m [10'] bull shark
1916,Florida,Surfing,M,17,Foot lacerated,N,16h20,a small shark
1921,Florida,Surfing,M,20,Cuts on right foot,N,12h30,Possibly  a blacktip or spinner shark
1922,Florida,Surfing,M,19,Back of left hand gashed,N,12h05,"3' shark, possibly  a blacktip or spinner shark"
1923,Florida,Surfing,M,19,Left ankle bitten,N,10h00,"Blacktip shark, 5' to 6' "
1924,Grand Bahama Island,Spearfishing,M,43,Calf bitten,N,16h00,1.9 m [6.5'] bull shark
1934,Florida,Boogie boarding,M,18,Foot lacerated,N,14h30,0.9 m  [3'] shark
1936,Florida,Swimming,M,8,"Arm severed, surgically reattached",N,Dusk,"Bull shark, 2.3 m [7.5'] "
1940,California,Spearfishing,M,52,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",N,09h00,"White shark, 2.4 m to 3 m [8' to 10'] "
1942,South Carolina,Wading,F,29,3 puncture wounds on each side of her left  hand,N,Shortly before 13h00,2' shark
1950,Florida,Surfing,M,45,Foot lacerated ,N,19h00,1.2 m to 1.5 m [4' to 5'] shark
1954,Florida,Surfing,M,12,Right foot & ankle lacerated,N,10h55,Possibly a juvenile blacktip or spinner shark
1957,Florida,Surfing,M,21,Small cuts on big & pinky toes of left foot,N,16h05,Possibly a juvenile blacktip or spinner shark
1958,Florida,Body boarding,M,12,Foot & ankle lacerated,N,12h34,Possibly a juvenile blacktip or spinner shark
1959,Florida,Surfing,M,22,Foot lacerated,N,11h53,Possibly a 1.5 m [5'] blacktip or spinner shark
1960,Florida,Surfing,M,19,Minor cuts on right heel & foot,N,8:04 PM,Possibly a juvenile blacktip or spinner shark
1964,Eastern Cape Province,Surfing,M,46,"Thigh, hip & buttock bitten",N,09h30,"White shark, 2.7 m [9'] "
1966,Florida,Standing alongside surfboard,M,26,Minor lacerations to dorsum of left foot,N,14h45,"""small shark"""
1968,New South Wales,Surfing,M,40,Calf bitten,N,10h00,Bronze whaler shark
1976,New South Wales,Surfing,M,40,Leg bitten,N,16h15,"Bronze whaler shark, 2.5 m [8.25']  k"
1983,Taveuni,Swimming back from anchored sailboat,M,47,"FATAL, leg severed ",Y,14h30,6 m [20'] shark
1986,Queensland,Spearfishing,M,38,Left elbow and forearm bitten,N,09h30,"Bronze whaler shark, 2.5 m [8.25'] "
1990,Florida,Swimming,M,73,Right calf lacerated,N,12h00,1.2 m to 1.8 m [4' to 6'] shark
1992,Western Australia,Swimming,M,52,Leg & feet lacerated,N,06h30,"White shark, 4.9 m [16'] "
1993,Western Australia,Swimming,M,49,"FATAL, torso bitten, leg severed ",Y,06h30,"White shark, 5 m [16.5'] "
1994,California,Surfing,M,27,Both thighs bitten,N,16h30,"White shark, 2.4 m to 3 m [8' to 10'] "
1997,Hawaii,Swimming / snorkeling,F,56,Right side of back / torso lacerated,N,11h20,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
1999,Florida,Surfing,M,17,Foot lacerated,N,Morning,2.1 to 2.4 m [7' to 8'] shark
2000,Florida,Surfing,M,23,Fingers lacerated,N,14h30,"Blacktip shark, 2' "
2004,South Australia,Surfing,M,17,FATAL,Y,13h00,White shark
2005,South Australia,Surfing,M,25,FATAL,Y,07h30,"White shark, 4 m to 5 m [13' to 16.5'] "
2007,Miyako Island,Surfing,M,31, FATAL,Y,17h00,"White shark, 2.5 m "
2011,Florida,Swimming / Body surfing,M,25,Finger lacerated,N,13h20,60 cm to 90 cm [2' to 3'] shark
2013,Western Cape Province,Free diving,M,48,Swim fin bitten,N,11h00,"White shark, 3.5 m [11.5']  male "
2015,Florida,Wading,M,40,Left foot lacerated ,N,11h45,1.5 m [5'] shark
2016,Saint-Pierre,Surfing,M,27,Left arm bitten,N,18h05,"Tiger shark, 3 m [10'] "
2018,Florida,Swimming,M,47,Punctures & lacerations on right foot,N,12h35,A 2' shark was seen in the area by witnesses
2019,Florida,Jumped into the water,M,69,FATAL,Y,16h00,"Thought to involve a 2.7 m [9'], 400-lb bull shark"
2022,Hawaii,"Windsurfing, but sitting on his board",M,53,Left calf lacerated,N,11h50,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  "
2023,Florida,Surfing / Wading,M,27,Minor lacerations to the dorsum of the right foot,N,16h30,juvenile shark
2024,Florida,Standing,F,44,Severely bitten on lower leg ,N,16h45,"Blacktip shark, 2.4 m to 3 m [8' to 10'] "
2039,North Carolina,Playing,F,12,Calf lacerated,N,16h30,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?"
2041,Florida,"Spearfishing, holding mesh bag with speared fish",F,55,Lower right calf lacerated,N,12h00,"Nurse shark, 1.2 m [4'] "
2042,Florida,Wading,F,13,Left calf & hand lacerated,N,17h00,0.9 m [3'] shark
2043,Florida,Standing,F,19,Left thigh lacerated,N,14h45,"0.9 m [3'] shark,  probably a blacktip or spinner shark"
2049,Texas,Surfing,M,17,Foot lacerated,N,16h00,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] "
2050,Alabama,Swimming,M,55,Puncture wounds on right hip and arm,N,06h45,Bull shark?
2051,Alabama,Swimming ,M,44,Right forearm severed surgically amputated above elbow,N,06h45,Bull shark
2061,Queensland,Swimming,M,26,Left calf bitten,N,14h00,2.5 m shark
2062,Florida,Boogie boarding,F,14,Right knee lacerated,N,11h15,1.8 m [6'] shark
2063,Florida,Surfing,M,37,Left hand bitten,N,14h00,1.2 m [4'] shark
2064,North Province,Spearfishing,M,35,FATAL,Y,Morning,Tiger shark?
2070,Louisiana,Spearfishing,M,39,"No injury to diver, speargun damaged",N,16h00,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] "
2084,Rio de Janeiro,Spearfishing,M,39,"Lateral right thigh bitten. Thought to involve a 1.2 to 1.5 m tubarão da gralha preta -  a blacktip shark, C. limbatus",N,09h30,Shark involvement not confirmed
2087,Hawaii,Swimming,F,51,"Buttock bitten, hands lacerated",N,17h20,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
2090,Rio de Janeiro,"Spearfishing, but swimming at surface",M,39,Upper right thigh bitten,N,10h30,1.3 to 1.6 m shark
2096,Hawaii,"Surfing, lying on surfboard",M,16,Right arm bitten,N,18h30,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
2099,California,Kayaking,M,37,"No injury, but kayak scraped & dented",N,18h30,White shark
2105,Florida,Surfing,M,28,3-inch laceration to right foot,N,14h30,"""a small shark"""
2107,Ralik Chain,Fishing,M,23,Lacerations to left leg,N,Morning,7' shark
2109,South Carolina,Lying prone in 2' of water,M,10,"Ear lacerated, cuts on scalp, back, arm & shoulder ",N,17h40,1.8 m [6'] shark
2110,Florida,Body surfing,M,62,Right ankle & heel  lacerated,N,11h25,4' to 5' shark
2111,Abaco Islands,Spearfishing & holding catch,M,35,Right arm bitten,N,17h00,2.7 m [9']  bull shark or Caribbean reef shark
2112,Western Cape Province,Surfing,M,42,Right thigh bitten,N,14h00,"White shark, 3 m to 5 m [10' to 16.5'] "
2113,Florida,Swimming with dolphins,M,43,Ankle bitten,N,18h25,"Bull shark, 2.1 m [7']"
2114,Hawaii,Surfing,M,43,Right thigh & buttock bitten,N,10h28,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] "
2115,Western Cape Province,Boogie boarding,M,14,FATAL,Y,11h15,White shark
2117,Florida,Wading in school of baitfish,F,30,Lacerations knee to ankle,N,Afternoon,"Blacktip shark, 1.8 m [6'] "
2118,Eastern Cape Province,Surfing,M,29,Leg & board bitten,N,Morning,"White shark, 4 m [13'] "
2120,Florida,Surfing,M,21,Right hand and wrist lacerated,N,09h15,3' to 4' shark
2122,Florida,Splashing / wading,M,5,Knee lacerated,N,16h00,Blacktip or spinner shark
2123,South Australia,Windsurfing,M,22,"FATAL, body not recovered",Y,14h30,Thought to involve a white shark
2124,Pernambuco,Surfing,M,21,Leg & hands bitten,N,Afternoon,"Tiger shark, 2.5 m [8.25']"
2125,Grand Baie,Swimming,F,41,Thigh bitten,N,06h00,"Grey reef shark, 1.5 m "
2126,L' Etang Salé-les-Bains,Swimming after being swept into sea by a large wave,M,52,FATAL,Y,10h30,3 bull sharks
2134,Hawaii,Swimming near pod of whales,F,29,Tissue removed knee to thigh,N,10h45,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity
2136,New South Wales,Surfing,M,35,"Left hand & forearm bitten, board bitten",N,Evening,Bronze whaler or tiger shark
2137,Florida,Surfing,M,25,Left hand bitten,N,15h30,Spinner shark
2143,Western Cape Province,Spearfishing,M,30,Heel lacerated,N,12h00,"White shark, 4.6 m [15'] "
2147,Eastern Cape Province,Surfing,M,18,Leg bitten,N,17h00,Possibly a white shark
2150,Florida,Swimming,M,9,FATAL,Y,14h00,Tiger shark
2151,Florida,Surfing,M,14,Right foot bitten,N,08h45,1.2 m [4'] shark
2152,Florida,Walking,M,13,Survived,N,17h00,"A ""small shark"""
2155,Pernambuco,Surfing,M,22,"FATAL, left forearm severed  ",Y,Late afternoon,Though to involve a white shark
2167,Florida,Surfing,M,26,Toes lacerated,N,20h15,3' to 4' shark
2169,California,Boogie boarding,M,16,"Thigh, buttocks & lower back lacerated",N,14h16,"White shark, 5 m to 6 m [16.5' to 20'] "
2171,Berry Islands,Spearfishing,M,28,Calf bitten,N,16h30,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] "
2175,Western Cape Province,Spearfishing,M,24,Leg bitten,N,13h00,"White shark, 4.9 m [16']"
2179,Eastern Cape Province,Surfing,M,16,Knee bitten,N,Morning,5' to 6' shark
2181,South Australia,Free diving for abalone,M,26,"FATAL, left thigh and lower leg severely injured  ",Y,14h00,Thought to involve a 5.5 m white shark named Kong
2182,Eastern Cape Province,Body Boarding,M,20,"FATAL, hands & calf bitten  ",Y,09h55,White shark
2186,Eastern Cape Province,Body boarding,M,15,Right shoulder & arm bitten,N,2 hours after Opperman,3 m to 4 m [10' to 13'] white shark
2187,Eastern Cape Province,Body boarding,M,16,Leg bitten,N,Early afternoon,Unidentified
2188,Florida,Surfing,M,40,4 lacerations on the sole of his right foot,N,11h10,"Lemon shark, 1.5 m [5'], identified  by the surfer"
2189,Florida,Swimming,F,14,Ankle & foot bitten,N,14h30,"1.8 m [6'] shark, possibly a blacktip"
2191,Western Cape Province,Body boarding,M,22,"Lower legs bitten, foot severed",N,14h45,4 m [13'] white shark
2192,Gaza,Towing rubber dinghy,F,35,"FATAL, torso & abdomen bitten, forearm severed ",Y,15h05,3 m [10'] shark
2193,Oregon,Surfing (lying prone on his board),M,50,Right thigh bitten,N,09h30 ,5 m [16.5'] white shark
2198,Western Cape Province,Snorkeling – hunting crayfish and abalone,M,33,Lower leg lacerated,N,17h30,3 m [10'] white shark
2199,Florida,Swimming or paddle boarding,M,32,6 puncture wounds to right calf,N,Morning,5' spinner shark
2206,Maputo Province,Surfing,M,23,Leg bitten,N,13h15,Small dusky shark or blackfin shark
2210,Western Cape Province,Spearfishing,M,39,FATAL,Y,14h00,White shark
2214,Western Australia,Scuba diving (submerged riding a scooter),M,42,Left arm lacerated when shark grabbed scooter,N,Morning,White shark
2218,Hawaii,Body boarding or surfing,M,19,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",N,07h20,"Tiger shark, 4 m to 4.3 m [13' to 14'] "
2219,Florida,Surfing,M,23,"5"" gash in foot",N,17h15,Possibly a blacktip shark
2220,Florida,Surfing,M,12,Left foot bitten,N,18h00,1.2 m to 1.5 m [4' to 5'] shark
2229,California,Surfing (sitting on his board),M,29,Leg & hand bitten,N,12h30,5 m [16.5'] white shark
2239,Florida,Body surfing,M,17,Top of left foot bitten,N,15h45,juvenile shark
2240,Florida,Wading / Surfing,M,19,Top of left foot bitten,N,09h15,"""juvenile shark"""
2242,Eastern Cape Province,Surfing,M,25,FATAL,Y,12h45,4.5 m white shark
2244,South Carolina,Standing,M,50,Left calf bitten,N,Night,Blacktip shark
2248,Taveuni,Snorkeling,F,47,"Bitten on inner thigh, leg surgically amputated",N,14h30,"Tiger shark, 2.7m  [9']"
2249,Florida,Surfing,M,18,Laceration to left upper arm,N,18h00,Possibly a spinner shark
2251,Florida,"Body surfing, stood up on sandbar",M,33,4 lacerations above left ankle,N,10h25,1.2 m [4'] shark (spinner shark?)
2252,Florida,Spearfishing,M,35,Right thigh punctured,N,Morning,4' shark
2253,Florida,Surfing,M,34,Left elbow bitten,N,11h00,Possibly a sand shark
2254,Florida,Surfing,M,12,Left ankle bitten,N,11h00,Possibly a sand shark
2259,Queensland,Scuba diving,M,30,Left arm bitten,N,Midday,"Tiger shark, 2m to 3m "
2263,Queensland,Snorkeling,M,27,"Left leg lacerated, punctures to right leg",N,11h00 / 11h30,1.8 m to 2.1 m [6' to 7'] shark
2264,Western Australia,Windsurfing,M,41,"Presumed fatal, no body recovered, shark mutilated wetsuit & harness recovered ",Y,18h00,"Tiger shark, 4.5 m [14'9""]"
2271,California,Surfing,M,45,Single laceration on ankle & board bitten,N,08h30,3 m to 5 m [10' to 16.5'] white shark
2276,California,Surfing,M,22,Lower leg bitten,N,13h00,5.5 m to 6 m [18' to 20'] white shark
2277,Florida,Surfing,M,21,"4"" laceration on left forearm",N,08h30,1.2 m [4'] shark
2278,California,Surfing,M,31,"No Injury, shark struck his board",N,07h19,5 m [16.5'] white shark
2281,Chatham Islands ,Diving for abalone,M,23,"Back, arms & wrist severely lacerated",N,10h00,White shark
2282,Florida,Surfing / Swimming,M,19,Small puncture wounds and lacerations on right leg just below knee,N,12h15,"""a young shark"""
2286,KwaZulu-Natal,Spearfishing,M,29,No injury  PROVOKED INCIDENT,N,07h19,White shark
2287,Hawaii,Body Boarding,M,19,Right calf bitten,N,16h00,"Tiger shark, 2.4 m [8'] "
2288,California,Free diving for abalone,M,36,"Left shoulder, forearm, hand & abdomen lacerated",N,11h15,6 m [20'] white shark
2289,Florida,Wade fishing,M,21,"No injury, towed by shark that grabbed stringer of fish tied to his waist",N,14h00,1.8 m to 2.1 m [6' to 7'] hammerhead shark
2297,Florida,Standing,F,63,Laceration on left foot,N,14h00,5' to 6' shark
2302,Western Cape Province,Surfing,M,17,Leg bitten,N,14h45,2.5 m [8.25'] white shark 
2304,Florida,Surfing,M,22,Right foot & ankle bitten,N,13h40,1.2 m [4'] shark
